chlorides,total_sulfur_dioxide,density,pH,alcohol,high_quality
0.034,93.0,0.9906,3.04,11.7,1
0.044,217.5,0.992,3.33,11.0,0
0.034,127.0,0.992,3.51,12.5,1
0.038,115.0,0.994,3.16,10.0,0
0.045,169.0,0.9959,3.17,10.6,0
0.033,102.0,0.9908,3.26,12.3,1
0.023,87.0,0.9902,3.14,12.7,0
0.033,102.0,0.9908,3.26,12.3,1
0.039,110.0,0.9943,3.1,10.5,0
0.047,109.0,0.9921,3.23,12.5,0
0.033,96.0,0.9911,3.2,12.4,0
0.043,238.0,0.9986,3.06,8.7,0
0.03,114.0,0.992,3.17,12.4,1
0.033,93.0,0.992,3.16,12.6,1
0.037,131.0,0.9943,3.38,11.0,0
0.043,155.0,0.9937,3.42,10.1,0
0.036,195.0,0.993,3.03,10.5,0
0.023,87.0,0.9902,3.14,12.7,0
0.024,116.0,0.9928,3.17,10.9,0
0.041,128.0,0.9896,3.07,13.5,1
0.042,164.0,0.998,3.19,9.7,0
0.041,178.0,0.9954,3.45,9.2,0
0.036,187.0,0.9938,3.4,10.6,1
0.033,141.0,0.9918,2.98,13.3,1
0.041,128.0,0.9896,3.07,13.5,1
0.037,131.0,0.9944,3.29,10.1,0
0.042,233.0,0.9999,2.92,9.4,0
0.055,167.0,0.9953,3.18,10.6,1
0.046,80.0,0.992,3.25,11.3,0
0.045,73.0,0.9925,3.32,10.8,1
0.051,195.0,0.9981,3.15,10.4,0
0.034,160.0,0.9952,3.82,10.5,1
0.049,150.0,0.9927,3.13,9.3,0
0.047,152.0,0.9927,3.12,9.3,0
0.037,165.0,0.9911,3.29,12.2,1
0.138,150.0,0.9936,3.08,9.2,0
0.057,104.0,0.9959,3.81,10.3,0
0.046,157.0,0.9946,3.33,9.4,0
0.036,223.0,0.9948,3.28,10.2,0
0.034,212.0,0.9955,3.08,9.0,0
0.036,245.0,0.9951,3.06,9.3,0
0.037,236.0,0.9952,3.06,9.2,0
0.05,156.0,0.9946,3.32,9.4,0
0.046,157.0,0.9946,3.33,9.4,0
0.039,223.0,0.9944,2.92,9.5,0
0.036,73.0,0.9938,3.46,9.9,0
0.059,174.0,0.9963,3.46,11.1,1
0.028,116.0,0.991,2.99,12.3,1
0.044,163.0,1.0003,3.21,8.6,1
0.04,145.0,0.9966,3.04,9.4,0
0.048,190.0,0.9993,3.07,9.4,0
0.044,163.0,1.0003,3.21,8.6,1
0.037,126.0,0.9938,3.21,10.9,0
0.169,162.0,0.9965,3.2,9.4,0
0.037,126.0,0.9938,3.21,10.9,0
0.048,190.0,0.9993,3.07,9.4,0
0.064,132.0,0.9938,3.22,9.2,0
0.044,163.0,1.0003,3.21,8.6,1
0.04,145.0,0.9966,3.04,9.4,0
0.083,133.0,0.9942,3.33,10.8,0
0.025,153.0,0.9928,3.29,10.5,0
0.026,140.0,0.991,3.02,12.5,0
0.028,168.0,0.9911,2.99,12.1,1
0.039,147.0,0.9977,3.02,8.7,0
0.026,151.0,0.9927,3.07,12.7,1
0.028,168.0,0.9911,2.99,12.1,1
0.026,140.0,0.991,3.02,12.5,0
0.05,147.0,0.9912,3.06,11.4,1
0.032,110.0,0.9907,3.02,12.9,1
0.029,109.0,0.9902,3.15,12.8,1
0.034,78.0,0.992,3.38,11.2,0
0.033,98.0,0.994,3.14,9.7,0
0.038,191.0,0.9966,3.04,9.7,0
0.037,79.0,0.993,3.5,10.3,0
0.03,102.0,0.993,3.0,11.6,0
0.031,102.0,0.993,3.0,11.6,0
0.038,191.0,0.9966,3.04,9.7,0
0.045,131.0,0.9942,3.32,10.9,0
0.045,122.0,0.9925,3.19,12.6,1
0.04,163.0,0.9925,3.3,12.4,0
0.042,166.0,0.9928,2.96,11.5,0
0.045,159.0,0.995,2.93,10.2,0
0.032,176.0,0.9939,3.22,11.4,0
0.067,212.0,0.9958,3.3,9.6,0
0.035,163.0,0.9952,3.05,10.3,0
0.038,228.0,1.0,2.95,9.3,0
0.05,114.0,0.9948,3.33,10.7,1
0.047,105.0,0.99,3.13,12.8,1
0.049,142.0,0.9958,2.98,9.5,0
0.046,130.0,0.9948,3.02,10.4,0
0.049,94.0,0.9949,3.02,10.3,0
0.041,142.0,0.997,3.46,9.9,0
0.039,116.0,0.9927,3.23,10.7,0
0.04,160.0,0.9938,2.94,10.5,0
0.046,186.0,0.9949,3.08,9.6,0
0.04,169.0,0.9953,3.15,9.3,0
0.044,162.0,0.997,3.1,10.0,0
0.026,190.0,0.9932,3.04,11.2,0
0.039,177.0,0.9927,3.32,10.8,0
0.044,96.0,0.9932,3.54,10.3,0
0.038,234.0,0.9955,3.03,8.8,0
0.044,114.0,0.9914,3.04,12.8,0
0.028,114.0,0.991,3.23,13.2,0
0.037,152.0,0.992,3.54,10.1,0
0.093,161.0,0.9924,3.44,11.0,0
0.043,182.0,0.9927,3.25,10.8,0
0.04,114.0,0.9911,3.2,12.8,1
0.042,168.0,0.9958,3.12,9.2,0
0.047,167.0,0.9928,3.12,10.5,0
0.028,81.0,0.9902,3.37,11.7,0
0.052,104.0,0.994,2.85,9.5,0
0.05,108.0,0.994,2.85,9.5,0
0.058,110.0,0.9972,3.4,8.8,0
0.05,210.0,1.0004,3.15,9.3,1
0.034,180.0,0.991,3.09,12.6,1
0.048,107.0,0.9918,3.21,12.4,0
0.047,189.0,0.995,3.65,10.1,0
0.042,161.0,0.9941,3.26,11.2,1
0.048,251.0,0.9956,3.29,10.0,0
0.048,251.0,0.9956,3.29,10.0,0
0.033,116.0,0.9959,2.99,10.8,0
0.04,121.0,0.9922,3.27,10.0,0
0.029,151.0,0.9931,3.04,10.4,0
0.033,116.0,0.9959,2.99,10.8,0
0.059,181.0,0.9984,3.51,9.8,0
0.041,165.0,0.9908,3.26,12.2,1
0.043,113.0,0.991,3.39,12.7,1
0.039,163.0,0.9928,3.21,12.2,1
0.039,162.0,0.9936,3.15,11.9,1
0.042,161.0,0.9941,3.26,11.2,1
0.042,61.0,0.9924,2.96,10.4,0
0.034,122.0,0.9917,3.29,12.8,1
0.027,130.0,0.9906,3.28,12.7,1
0.047,189.0,0.995,3.65,10.1,0
0.048,251.0,0.9956,3.29,10.0,0
0.04,179.0,0.9955,3.43,9.0,0
0.04,143.0,0.9907,2.92,11.4,0
0.05,191.0,1.0,3.32,8.9,0
0.039,167.0,0.9953,3.15,9.3,0
0.048,103.0,0.9911,3.28,12.0,1
0.04,132.0,0.9922,3.36,10.8,1
0.044,158.0,0.9951,3.52,10.5,0
0.038,189.5,0.9948,3.59,10.6,1
0.04,115.0,0.9906,3.19,11.3,1
0.051,96.0,0.994,3.22,9.5,0
0.04,143.0,0.9907,2.92,11.4,0
0.046,140.0,0.9927,3.33,10.1,1
0.037,95.0,0.9914,3.25,10.9,0
0.058,115.0,0.9958,3.15,8.9,0
0.05,191.0,1.0,3.32,8.9,0
0.168,185.0,0.9984,2.9,9.3,0
0.052,116.0,0.9941,3.25,10.4,0
0.042,162.0,0.9944,3.1,12.0,1
0.044,181.0,0.998,2.87,9.5,0
0.044,181.0,0.998,2.87,9.5,0
0.032,121.0,0.9902,3.14,12.4,1
0.032,130.0,0.9911,3.28,11.2,1
0.047,134.0,0.9929,3.15,11.4,0
0.05,136.0,0.993,3.16,11.4,0
0.047,132.0,0.9918,3.35,11.1,1
0.054,126.0,0.992,3.1,10.4,0
0.044,152.0,0.9932,3.38,12.0,1
0.039,98.0,0.992,3.54,12.3,1
0.045,92.0,0.994,3.12,9.1,0
0.046,102.0,0.9923,3.24,10.5,0
0.047,133.0,0.993,3.23,11.4,0
0.042,138.0,0.9956,3.77,9.5,0
0.039,116.0,0.9907,3.42,13.7,1
0.034,85.0,0.99,3.28,13.4,0
0.044,143.0,0.9918,3.2,11.3,1
0.037,180.0,0.9926,3.06,10.0,0
0.034,123.0,0.995,3.49,10.1,0
0.029,81.0,0.99,3.26,12.2,0
0.034,85.0,0.99,3.28,13.4,0
0.042,101.0,0.9946,3.31,9.3,0
0.039,116.0,0.9907,3.42,13.7,1
0.039,98.0,0.9898,3.09,12.3,1
0.044,143.0,0.9918,3.2,11.3,1
0.05,200.0,0.9986,3.04,8.9,1
0.05,200.0,0.9986,3.04,8.9,1
0.035,83.0,0.9928,3.19,11.5,0
0.05,200.0,0.9986,3.04,8.9,1
0.052,222.0,0.9979,3.17,9.3,0
0.044,122.0,0.994,3.3,11.1,1
0.044,128.0,0.9937,3.34,10.9,1
0.043,73.0,0.9938,2.9,11.6,0
0.069,117.0,0.9942,3.15,10.2,0
0.034,90.0,0.9944,3.01,10.5,1
0.033,78.0,0.993,2.91,11.4,0
0.05,200.0,0.9986,3.04,8.9,1
0.04,118.0,0.9932,3.14,10.6,0
0.037,97.0,0.9934,3.31,11.6,0
0.035,83.0,0.9928,3.19,11.5,0
0.035,155.0,0.9925,3.25,12.3,1
0.042,124.0,0.9944,3.14,10.8,0
0.037,130.0,0.9909,3.29,11.3,0
0.038,63.0,0.9932,3.36,9.3,0
0.045,128.0,0.9934,3.36,10.0,0
0.057,366.5,1.0001,3.04,11.0,0
0.044,132.0,0.992,3.13,10.2,0
0.04,103.0,0.9916,3.07,10.8,1
0.042,137.0,0.998,3.1,10.1,0
0.047,90.0,0.9919,3.27,11.6,0
0.051,105.0,0.9925,3.32,9.1,0
0.056,225.0,0.9977,3.06,10.0,0
0.042,124.0,0.9944,3.14,10.8,0
0.052,128.0,0.991,3.25,11.4,0
0.045,140.0,0.99,3.05,12.7,0
0.042,156.0,0.9917,3.13,11.3,0
0.033,81.0,0.9923,3.0,10.4,1
0.051,87.0,0.9928,3.3,9.6,0
0.048,119.0,0.9923,3.0,10.1,0
0.051,87.0,0.9928,3.3,9.6,0
0.03,94.0,0.9902,3.1,12.1,1
0.031,99.0,0.9893,3.07,12.2,0
0.042,156.0,0.9917,3.13,11.3,0
0.053,94.0,0.9982,3.17,9.6,0
0.051,243.0,1.0005,2.99,9.2,0
0.033,81.0,0.9923,3.0,10.4,1
0.05,210.0,0.9951,3.23,9.5,0
0.052,226.0,0.9956,3.16,8.9,0
0.05,162.0,0.998,3.03,8.8,0
0.057,117.0,0.9928,3.16,10.5,0
0.061,117.0,0.9938,3.08,9.4,0
0.04,125.0,0.9914,3.24,12.2,0
0.033,158.0,0.9955,3.14,11.3,0
0.044,130.0,0.9924,3.25,12.2,0
0.063,92.0,0.9911,3.38,12.2,0
0.055,150.0,0.9917,3.23,11.2,0
0.055,150.0,0.9917,3.23,11.2,0
0.036,172.0,0.9932,3.2,11.5,0
0.033,158.0,0.9955,3.14,11.3,0
0.048,138.0,0.9929,3.01,9.3,0
0.033,158.0,0.9955,3.14,11.3,0
0.034,156.0,0.9958,3.14,11.8,1
0.054,231.0,1.0012,2.99,9.2,0
0.069,150.0,0.9968,3.0,9.2,0
0.063,92.0,0.9911,3.38,12.2,0
0.044,130.0,0.9924,3.25,12.2,0
0.044,144.0,0.991,3.31,12.2,0
0.048,133.0,0.9946,3.24,10.6,0
0.05,128.0,0.9928,3.28,12.4,0
0.048,164.0,0.9946,3.56,10.8,0
0.055,150.0,0.9917,3.23,11.2,0
0.051,137.0,0.9918,3.06,11.0,0
0.031,151.0,0.9926,3.16,12.7,1
0.044,163.0,0.9931,3.46,10.2,0
0.036,172.0,0.9932,3.2,11.5,0
0.03,96.0,0.9903,3.13,12.3,1
0.046,60.0,0.9928,3.19,9.8,0
0.048,138.0,0.9929,3.01,9.3,0
0.034,156.0,0.9958,3.14,11.8,1
0.033,158.0,0.9955,3.14,11.3,0
0.052,48.0,0.9911,3.15,11.4,0
0.038,128.0,0.9938,3.21,10.8,0
0.057,85.0,0.9942,2.99,9.5,0
0.05,148.0,0.9945,3.46,10.2,0
0.028,184.0,0.9962,3.22,10.7,0
0.04,104.0,0.992,3.05,10.8,0
0.044,159.0,0.9927,2.99,11.5,0
0.056,124.0,0.9948,3.32,10.7,0
0.05,148.0,0.9945,3.46,10.2,0
0.048,124.0,0.9942,3.37,10.1,0
0.046,187.0,0.9952,3.62,10.4,0
0.057,85.0,0.9942,2.99,9.5,0
0.053,134.0,0.9958,3.14,9.1,0
0.034,126.0,0.9918,2.98,10.6,0
0.033,51.0,0.9932,3.3,9.4,0
0.054,169.0,1.0004,3.51,9.8,0
0.044,224.0,0.9972,3.18,9.5,0
0.037,187.0,0.9998,2.99,9.3,0
0.03,117.0,0.9918,3.55,10.3,0
0.031,97.0,0.9918,3.06,11.1,0
0.046,188.0,0.9964,3.14,10.0,0
0.033,180.0,0.9936,3.13,12.3,1
0.033,186.0,0.9931,3.14,12.4,1
0.03,197.0,0.9938,3.13,12.3,1
0.039,62.0,0.9934,3.41,10.4,0
0.044,126.0,0.99,3.13,12.1,1
0.041,86.0,0.9914,3.16,12.5,0
0.043,155.0,0.9904,3.22,13.0,0
0.03,132.0,0.994,2.99,11.0,1
0.04,169.0,0.9938,3.05,10.1,0
0.034,121.0,0.9933,3.13,9.2,0
0.039,124.0,0.9909,3.27,12.6,1
0.045,126.0,0.9942,3.26,12.2,1
0.041,130.0,0.9945,3.04,9.8,1
0.051,205.0,0.9954,3.1,11.0,0
0.044,160.0,0.996,3.22,10.0,0
0.06,170.0,0.9991,3.55,9.8,0
0.053,144.0,0.993,3.16,10.5,0
0.061,145.0,0.9942,3.23,10.0,0
0.042,126.0,0.9934,3.02,11.2,0
0.034,134.0,0.9939,2.99,11.0,1
0.031,161.0,0.9937,3.01,11.2,0
0.03,132.0,0.994,2.99,11.0,1
0.039,136.0,0.9926,3.14,10.5,0
0.037,154.0,0.9951,3.02,10.6,0
0.038,163.0,0.9952,3.02,10.6,0
0.035,95.0,0.9935,3.04,12.0,0
0.04,169.0,0.9938,3.05,10.1,0
0.038,167.0,0.9939,3.05,10.1,0
0.034,121.0,0.9933,3.13,9.2,0
0.041,164.0,0.9927,3.25,11.0,0
0.044,185.0,0.998,3.34,10.0,0
0.042,158.0,0.9997,3.28,8.7,0
0.037,156.0,0.9981,3.04,8.7,0
0.037,156.0,0.992,3.15,11.1,0
0.045,195.0,0.9954,3.04,11.0,0
0.037,156.0,0.992,3.15,11.1,0
0.042,158.0,0.9997,3.28,8.7,0
0.037,156.0,0.9981,3.04,8.7,0
0.037,174.0,0.9943,3.1,11.2,1
0.049,209.0,0.9941,3.14,11.1,1
0.028,107.0,0.9936,3.24,10.8,0
0.044,176.0,0.9996,3.38,9.0,0
0.031,122.0,0.9932,3.03,10.3,0
0.028,24.0,0.9926,2.91,9.9,0
0.04,148.0,0.9936,3.13,10.0,0
0.034,106.0,0.992,3.21,9.8,0
0.028,107.0,0.9936,3.24,10.8,0
0.044,176.0,0.9996,3.38,9.0,0
0.029,86.0,0.993,3.16,9.1,0
0.037,104.0,0.9924,3.23,10.6,0
0.038,99.0,0.9928,3.2,10.6,0
0.028,24.0,0.9926,2.91,9.9,0
0.049,152.0,0.9952,3.18,10.6,0
0.034,156.0,0.9945,3.13,9.9,0
0.034,158.0,0.9945,3.12,9.9,0
0.025,102.0,0.9903,3.34,12.8,0
0.031,122.0,0.9932,3.03,10.3,0
0.051,157.0,0.9953,3.18,10.6,0
0.122,129.0,0.9936,3.09,8.7,0
0.038,152.0,0.9912,3.32,12.6,1
0.057,156.0,0.9962,3.43,11.0,1
0.056,164.0,0.9965,3.29,11.2,1
0.032,148.0,0.9932,3.45,10.7,1
0.036,182.0,0.9967,3.08,9.6,0
0.051,157.0,0.9953,3.18,10.6,0
0.045,115.0,0.9963,3.27,9.0,0
0.036,56.0,0.992,2.96,10.5,0
0.033,156.0,0.991,3.29,12.8,0
0.059,112.0,0.9958,3.15,10.1,0
0.027,126.0,0.99,3.3,12.2,1
0.033,156.0,0.991,3.29,12.8,0
0.059,112.0,0.9958,3.15,10.1,0
0.044,117.0,0.9938,3.14,10.1,0
0.046,158.0,0.9996,3.06,9.2,0
0.055,110.0,0.9946,3.33,9.9,0
0.055,188.0,0.9974,3.52,9.7,0
0.038,157.0,0.9945,3.21,9.9,0
0.041,159.0,0.9946,3.21,9.9,0
0.055,188.0,0.9974,3.52,9.7,0
0.063,168.0,0.9957,3.54,10.3,0
0.045,116.0,0.9931,3.16,10.3,0
0.048,108.0,0.9947,2.88,10.5,0
0.053,182.0,0.9953,3.63,10.5,0
0.05,74.0,0.9931,3.32,9.8,0
0.05,128.0,0.9946,3.31,10.6,0
0.046,168.0,0.9978,3.58,10.1,0
0.062,191.0,0.9989,3.22,9.0,0
0.046,119.0,1.0004,3.18,9.5,0
0.039,84.0,0.9938,2.94,11.5,0
0.039,108.0,0.9934,3.03,11.9,1
0.046,168.0,0.9978,3.58,10.1,0
0.045,209.0,0.9956,3.21,9.2,0
0.039,165.0,0.9982,3.02,8.7,0
0.042,147.0,0.9948,3.11,9.8,0
0.045,209.0,0.9956,3.21,9.2,0
0.039,165.0,0.9982,3.02,8.7,0
0.036,122.0,0.9926,3.35,11.2,0
0.028,165.0,0.991,3.08,12.3,0
0.042,161.0,0.9945,3.34,10.4,0
0.047,111.0,0.9916,3.13,10.7,0
0.043,63.0,0.9953,3.13,10.5,0
0.047,136.0,0.9938,2.95,9.4,0
0.046,206.0,0.9956,3.24,9.2,0
0.034,122.0,0.9906,3.15,11.9,0
0.046,206.0,0.9956,3.24,9.2,0
0.172,108.0,0.9932,3.27,9.9,0
0.167,94.0,0.9914,3.11,11.4,0
0.047,136.0,0.9938,2.95,9.4,0
0.046,223.0,0.996,3.08,10.7,0
0.034,77.0,0.9906,3.28,12.7,0
0.034,53.0,0.98815,3.32,13.5,1
0.048,137.0,0.9942,3.24,9.5,0
0.032,113.0,0.9903,3.37,12.9,1
0.031,109.0,0.9906,3.07,12.5,0
0.04,118.0,0.9935,3.34,9.5,1
0.057,235.0,1.0024,2.98,8.6,0
0.048,212.0,0.9968,3.09,10.0,1
0.031,109.0,0.9906,3.07,12.5,0
0.04,100.0,0.9941,3.12,10.1,0
0.027,87.0,0.9919,3.03,11.3,1
0.035,120.0,0.9928,3.26,10.6,1
0.035,131.0,0.9958,3.14,10.8,0
0.047,140.0,0.9932,3.4,10.7,0
0.045,206.0,0.9957,3.09,9.0,0
0.065,143.0,0.9937,3.22,9.2,0
0.045,243.0,0.9982,3.14,8.5,0
0.029,128.0,0.9928,3.41,11.3,1
0.027,87.0,0.9919,3.03,11.3,1
0.05,131.0,0.9956,3.13,9.4,0
0.045,169.0,0.9957,3.11,8.7,0
0.053,118.0,0.9954,3.36,9.4,0
0.039,131.0,0.993,3.09,10.5,1
0.037,161.0,0.9954,3.38,9.7,0
0.048,195.0,0.9987,3.31,10.2,0
0.05,131.0,0.9956,3.13,9.4,0
0.057,108.0,0.9928,3.19,11.5,0
0.047,98.0,0.9951,2.94,9.6,0
0.053,121.0,0.993,3.23,11.4,0
0.057,108.0,0.9928,3.19,11.5,0
0.041,111.0,0.9926,3.41,12.2,1
0.037,110.0,0.9938,3.2,11.0,1
0.048,228.0,1.0001,3.03,9.2,0
0.035,126.0,0.9933,3.26,10.2,0
0.043,149.0,0.9952,3.21,10.0,0
0.042,160.0,0.9934,3.13,9.7,0
0.239,220.0,0.9988,2.96,9.2,0
0.042,105.0,0.993,3.1,10.5,0
0.043,149.0,0.9952,3.21,10.0,0
0.054,151.0,0.9948,3.27,10.1,0
0.058,134.0,0.9998,3.42,9.1,1
0.049,144.0,0.9971,3.09,10.2,1
0.058,134.0,0.9998,3.42,9.1,1
0.048,149.0,0.9962,3.17,10.5,1
0.054,151.0,0.9948,3.27,10.1,0
0.036,99.0,0.99,3.05,12.1,1
0.045,100.0,0.9942,3.4,10.2,0
0.058,166.0,0.9965,3.65,9.4,0
0.044,131.0,0.9912,3.08,12.8,1
0.076,209.0,0.9978,3.12,9.0,0
0.044,118.0,0.9928,3.24,10.9,0
0.053,176.0,1.0103,3.15,8.8,0
0.052,184.0,0.9956,3.11,9.0,0
0.046,142.0,0.9936,3.09,10.2,0
0.048,98.0,0.9929,3.19,9.2,0
0.06,162.0,0.9966,3.26,11.3,0
0.05,220.0,0.9964,3.12,8.8,0
0.049,217.0,0.996,3.16,9.3,0
0.049,217.0,0.9959,3.17,9.4,0
0.047,191.0,0.9954,3.23,10.3,0
0.047,114.0,0.9914,2.92,10.8,1
0.053,176.0,1.0103,3.15,8.8,0
0.059,177.0,1.0004,3.27,9.0,0
0.036,114.0,0.9911,3.41,11.5,1
0.04,84.0,0.9938,3.25,10.8,0
0.055,128.0,0.9927,2.95,11.8,0
0.033,72.0,0.9922,3.12,10.5,1
0.036,124.0,0.9924,3.14,9.9,0
0.046,160.0,0.9963,3.2,9.8,0
0.028,87.0,0.9936,3.4,11.4,1
0.138,168.0,0.9951,3.2,9.3,0
0.137,163.0,0.9951,3.2,9.3,0
0.046,188.0,0.9955,3.3,10.3,0
0.047,224.0,0.9961,3.17,8.9,0
0.028,87.0,0.9936,3.4,11.4,1
0.032,156.0,0.992,3.11,11.1,0
0.045,170.0,0.9944,3.36,10.4,0
0.034,117.0,0.9944,3.33,10.1,0
0.054,197.0,1.0008,3.22,9.0,0
0.046,212.0,0.9962,3.74,11.9,0
0.055,205.0,0.9986,3.12,9.0,1
0.055,205.0,0.9986,3.12,9.0,1
0.049,195.0,1.0,3.06,9.1,1
0.055,205.0,0.9986,3.12,9.0,1
0.047,147.0,0.9982,3.46,10.0,0
0.049,195.0,1.0,3.06,9.1,1
0.041,216.0,0.9949,3.55,9.4,0
0.034,123.0,0.9915,3.27,11.4,0
0.05,175.0,0.9951,3.11,9.7,0
0.055,205.0,0.9986,3.12,9.0,1
0.04,213.0,0.9927,3.28,11.8,0
0.048,198.0,0.9955,3.25,10.2,0
0.06,150.0,0.9952,3.37,9.2,0
0.036,132.0,0.9928,3.25,11.0,0
0.041,190.0,0.9982,3.08,10.0,0
0.038,190.0,0.9914,3.32,12.2,0
0.04,213.0,0.9927,3.28,11.8,0
0.043,175.0,0.9918,3.38,11.6,0
0.043,121.0,0.9944,3.44,10.2,0
0.033,208.0,0.9969,3.14,10.3,0
0.046,114.0,0.9955,3.25,8.6,0
0.058,151.0,0.9954,3.16,9.6,0
0.057,148.0,0.9955,3.16,9.6,0
0.035,127.0,0.9921,3.41,11.3,0
0.038,157.0,0.9934,3.41,9.9,0
0.056,179.0,0.9998,3.45,9.6,0
0.051,161.0,0.9946,3.36,10.6,0
0.055,180.0,0.9984,3.44,9.8,0
0.032,67.0,0.9924,3.08,10.5,0
0.037,120.0,0.9939,3.24,10.8,0
0.061,178.0,0.995,3.22,10.0,0
0.059,136.0,0.9957,3.3,10.1,0
0.123,116.0,0.9953,3.07,9.4,0
0.04,148.0,0.9912,3.32,11.5,1
0.046,108.0,0.9939,3.26,10.8,0
0.044,142.0,0.9921,3.1,9.9,0
0.05,178.0,0.9954,3.16,9.0,0
0.043,69.0,0.9933,3.38,9.4,0
0.044,180.0,0.9941,3.46,10.8,1
0.052,190.0,0.995,3.5,10.9,1
0.041,148.0,0.9977,3.24,12.0,0
0.04,148.0,0.9912,3.32,11.5,1
0.056,122.0,0.9945,3.47,10.5,0
0.064,152.0,0.9952,3.29,9.3,0
0.034,97.0,0.9924,3.23,11.8,0
0.045,212.0,0.9986,3.48,10.0,0
0.123,116.0,0.9953,3.07,9.4,0
0.036,138.0,0.9939,3.2,11.4,0
0.031,99.0,0.9929,2.94,10.4,0
0.055,198.0,0.9988,3.36,9.5,0
0.031,111.0,0.9906,3.14,11.9,0
0.041,123.0,0.9914,2.99,11.1,0
0.057,185.0,0.9978,3.39,9.6,0
0.042,178.0,0.9928,3.29,12.0,0
0.052,104.0,0.9948,3.14,8.7,0
0.057,185.0,0.9978,3.39,9.6,0
0.054,101.0,0.9946,3.24,10.0,0
0.032,55.0,0.9908,2.91,11.4,0
0.061,150.0,0.9954,3.14,9.6,0
0.038,152.0,0.9906,3.18,12.9,0
0.039,142.0,0.99705,3.14,9.7,0
0.042,169.0,0.9982,3.23,9.3,0
0.133,136.0,0.9932,3.1,9.1,0
0.053,238.0,0.9977,3.16,8.6,0
0.05,87.0,0.994,3.14,9.9,0
0.042,169.0,0.9982,3.23,9.3,0
0.044,102.0,0.9929,3.28,10.9,0
0.056,135.0,0.9924,3.2,10.2,0
0.045,174.0,0.9966,3.11,9.7,0
0.046,153.0,0.9921,3.38,11.4,1
0.045,197.0,0.9967,3.24,9.5,0
0.049,141.0,0.9934,3.42,10.2,1
0.042,93.0,0.9914,3.31,11.1,0
0.039,142.0,0.99705,3.14,9.7,0
0.053,202.0,0.9961,3.22,9.3,0
0.056,215.0,0.9967,3.17,8.8,0
0.038,53.0,0.9926,2.8,10.6,0
0.046,224.0,0.99605,3.17,9.3,0
0.042,181.0,0.99435,3.31,10.2,0
0.044,124.0,0.9948,3.16,10.2,0
0.037,98.0,0.9916,3.46,11.0,1
0.037,112.0,0.997,3.4,9.6,0
0.053,202.0,0.9961,3.22,9.3,0
0.056,215.0,0.9967,3.17,8.8,0
0.054,209.0,0.9961,3.17,8.8,0
0.051,179.0,0.9955,3.28,8.9,0
0.048,144.0,0.9922,3.17,10.0,0
0.046,102.0,0.9918,3.16,12.2,1
0.059,181.0,0.9955,3.04,10.9,0
0.041,141.0,0.9941,3.34,9.5,0
0.059,178.0,0.9955,3.04,10.9,0
0.059,181.0,0.9955,3.04,10.9,0
0.054,99.0,0.9924,3.16,10.8,0
0.03,135.0,0.9973,3.24,12.0,0
0.069,163.0,0.999,3.56,9.8,0
0.041,141.0,0.9941,3.34,9.5,0
0.034,150.0,0.9922,3.42,11.0,1
0.034,150.0,0.9922,3.42,11.0,1
0.052,150.0,0.9953,3.24,9.8,0
0.051,200.0,0.9945,3.49,10.5,0
0.034,142.0,0.9945,3.05,11.4,0
0.067,100.0,0.9957,3.27,10.1,0
0.038,127.0,0.9932,3.33,11.6,1
0.034,142.0,0.9945,3.05,11.4,0
0.04,115.0,0.9913,3.07,11.8,1
0.033,158.0,0.9909,3.33,12.1,1
0.035,122.0,0.9939,3.16,12.0,0
0.026,189.0,0.991,3.08,12.1,1
0.042,176.0,0.9954,3.15,9.1,0
0.054,117.0,0.9943,3.36,9.3,0
0.056,153.0,0.993,3.2,10.4,0
0.062,187.0,1.0002,3.27,9.1,0
0.064,120.0,0.9946,3.32,9.4,0
0.061,149.0,0.9953,3.16,9.6,0
0.037,126.0,0.9918,3.19,12.0,0
0.039,128.0,0.9936,3.27,11.3,1
0.073,173.0,0.9984,3.06,8.7,0
0.04,162.0,0.9956,3.39,9.9,0
0.049,191.0,0.9966,3.08,9.3,0
0.042,67.0,0.9942,3.07,9.5,0
0.073,173.0,0.9984,3.06,8.7,0
0.04,162.0,0.9956,3.39,9.9,0
0.049,191.0,0.9966,3.08,9.3,0
0.065,119.0,0.9974,3.16,9.4,0
0.046,116.0,0.9944,3.15,9.4,0
0.053,184.0,1.0008,3.28,8.8,0
0.065,119.0,0.9974,3.16,9.4,0
0.053,184.0,1.0008,3.28,8.8,0
0.049,184.0,0.9928,3.18,9.9,0
0.046,116.0,0.9944,3.15,9.4,0
0.042,72.0,0.9908,3.29,12.6,0
0.038,110.0,0.9917,3.19,11.1,0
0.03,100.0,0.9911,3.0,12.8,1
0.038,164.0,0.9912,3.09,12.0,0
0.029,131.0,0.9953,3.36,12.0,1
0.034,114.0,0.9932,3.19,9.2,0
0.032,96.0,0.9896,3.38,12.3,0
0.032,131.0,0.9889,3.19,13.0,0
0.038,164.0,0.9912,3.09,12.0,0
0.035,110.0,0.9926,3.07,10.9,0
0.03,100.0,0.9911,3.0,12.8,1
0.054,231.0,0.9964,3.36,10.0,0
0.033,165.0,0.9974,3.22,9.0,0
0.034,84.0,0.9944,3.42,10.4,0
0.033,165.0,0.9974,3.22,9.0,0
0.054,231.0,0.9964,3.36,10.0,0
0.051,240.0,0.9963,3.36,10.0,0
